0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-10.098656674391794,0.46169556887327273,4.810041479464735,-2.062919161493342,-5.454392112273001,Honda,Accord,Other,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Grey,Beige,Yes,Dubai,Dealer,70000
-9.848400184994523,0.4933857222135153,-8.4219655705528,-2.0824484633992086,,Mercedes-Benz,C-Class,C300 Sport,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,Black,Brown,Yes,Dubai,Dealer,219000
-9.472370062601035,0.5309124118337857,5.694687737875198,-2.0586401634899985,6.802853156536594,Land Rover,Range Rover Sport,HST,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,White,Unknown,Yes,Dubai,Dealer,149000
-9.229295448915439,0.9095019524649751,-1.3179064163452034,,1.690162647377515,Volkswagen,Teramont,SEL,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Grey,Black,No,Dubai,Owner,89000
-8.783347861822644,0.3207908343925111,18.480862942231266,,-29.9201810287895,Lexus,LC 500,Carbon,Coupe,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Silver,Tan,Does not apply,Dubai,Dealer,185000
-11.008359965125535,0.3666423970741148,,-2.063007221819296,7.906056392088452,Renault,Symbol,Standard,Sedan,Petrol,Automatic Transmission,Unknown,Unknown,Grey,Beige,No,Dubai,Owner,18000
-9.865477455785731,0.35480523450632484,23.084403404287812,-2.079296477184987,-2.0983349411319026,Mercedes-Benz,CLA,CLA250,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Unknown,No,Dubai,Dealer,138000
-9.707339648458138,0.47143790255724943,,-2.0473919821813302,-0.9021916736354658,Kia,Optima,LX,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,Unknown,Grey,Unknown,Yes,Sharjah,Dealer,27000
-9.826315603269217,0.5077913118162645,3.9978374326569113,-2.0946932242095273,-10.28704444484096,Hyundai,Elantra,GL,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,Black,Unknown,No,Sharjah,Dealer,47000
-9.398311875366756,0.17681607215950745,71.19460767873707,-2.016421171747216,-10.911576412229259,Suzuki,Grand Vitara,JLX,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,Unknown,Black,Black,Does not apply,Dubai,Owner,10000
-9.482310623848788,0.4390722803002104,17.438168218770222,-2.05513409762286,-37.90552143126341,Dodge,Challenger,SXT,Coupe,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,Red,Black,No,Dubai,Owner,54000
-9.804483556455967,0.31561769642689297,23.522091404511826,-2.070039930915604,-1.1582732190641911,BMW,5-Series,520i,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,White,Beige,No,Dubai,Dealer,102900
-9.58347223263449,0.5052979001295643,-1.5588547432208122,-2.0592318868120154,3.627985229019627,Audi,A8,L,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Black,Unknown,Yes,Dubai,Owner,209000
-9.626420714383993,0.4750064438151246,6.415262482542699,-2.0459220851477453,5.7250822241677835,Hyundai,Sonata,SE,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Red,Beige,No,Sharjah,Owner,22500
